question,premise,choice1,choice2,kind,a1,a2,correct,gap,peak
"Consider the following example: ‘‘‘A burglar broke into the house.’’’ Choice 1: The homeowners were asleep. Choice 2: The security alarm went off. Q: Which one is more likely to be the effect, choice 1 or choice 2?",A burglar broke into the house.,The homeowners were asleep.,The security alarm went off.,effect,-0.010301681235432625,-0.1717955768108368,2,0.16149389557540417,0.1717955768108368
"Consider the following example: ‘‘‘A fistfight broke out in the hall of the school.’’’ Choice 1: The principal suspended the students involved. Choice 2: The principal called off classes for the day. Q: Which one is more likely to be the effect, choice 1 or choice 2?",A fistfight broke out in the hall of the school.,The principal suspended the students involved.,The principal called off classes for the day.,effect,-0.2501984238624573,0.1330239623785019,1,0.38322238624095917,0.2501984238624573
"Consider the following example: ‘‘‘A man cut in front of me in the long line.’’’ Choice 1: I confronted him. Choice 2: I smiled at him. Q: Which one is more likely to be the effect, choice 1 or choice 2?",A man cut in front of me in the long line.,I confronted him.,I smiled at him.,effect,-0.363911509513855,0.6543455123901367,1,1.0182570219039917,0.6543455123901367
"Consider the following example: ‘‘‘Air leaked out of the beach ball.’’’ Choice 1: It was inflated. Choice 2: There was a hole in it. Q: Which one is more likely to be the cause, choice 1 or choice 2?",Air leaked out of the beach ball.,It was inflated.,There was a hole in it.,cause,0.9871698617935181,-0.8376035690307617,2,1.8247734308242798,0.9871698617935181
"Consider the following example: ‘‘‘Air pollution in the city worsened.’’’ Choice 1: Factories increased their production. Choice 2: Factories shut down. Q: Which one is more likely to be the cause, choice 1 or choice 2?",Air pollution in the city worsened.,Factories increased their production.,Factories shut down.,cause,0.050745297223329544,-0.01057102158665657,1,0.061316318809986115,0.050745297223329544
"Consider the following example: ‘‘‘Everyone in the class turned to stare at the student.’’’ Choice 1: The student's phone rang. Choice 2: The student took notes. Q: Which one is more likely to be the cause, choice 1 or choice 2?",Everyone in the class turned to stare at the student.,The student's phone rang.,The student took notes.,cause,-0.3266734778881073,0.6952432990074158,1,1.021916776895523,0.6952432990074158
"Consider the following example: ‘‘‘I approached the man.’’’ Choice 1: He looked busy. Choice 2: He looked familiar. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I approached the man.,He looked busy.,He looked familiar.,cause,-0.17540451884269714,0.23233331739902496,2,0.4077378362417221,0.23233331739902496
"Consider the following example: ‘‘‘I botched the job interview.’’’ Choice 1: The interviewer asked difficult questions. Choice 2: I anticipated the interviewer's questions. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I botched the job interview.,The interviewer asked difficult questions.,I anticipated the interviewer's questions.,cause,-0.06011844053864479,0.18477192521095276,1,0.24489036574959755,0.18477192521095276
"Consider the following example: ‘‘‘I came upon a puddle on the sidewalk.’’’ Choice 1: I leapt over the puddle. Choice 2: I played in the puddle. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I came upon a puddle on the sidewalk.,I leapt over the puddle.,I played in the puddle.,effect,-0.2631291449069977,0.21704213321208954,1,0.4801712781190872,0.2631291449069977
"Consider the following example: ‘‘‘I clenched the candy wrapper in my fist.’’’ Choice 1: The wrapper crinkled. Choice 2: The wrapper ripped. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I clenched the candy wrapper in my fist.,The wrapper crinkled.,The wrapper ripped.,effect,0.10824444144964218,-0.6745782494544983,1,0.7828226909041405,0.6745782494544983
"Consider the following example: ‘‘‘I clumsily bumped into the stranger.’’’ Choice 1: I ran away. Choice 2: I apologized to him. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I clumsily bumped into the stranger.,I ran away.,I apologized to him.,effect,0.04121420159935951,-0.2986554801464081,2,0.3398696817457676,0.2986554801464081
