dataset,position,method,loudness,purity,accuracy
comparisons,answer,CRC-TPC,0.24347430443856355,0.8658907221369233,1.0
comparisons,answer,tcPCA,0.21195082047650923,0.9623243084635738,1.0
comparisons,answer,g-tcPCA,0.05462193268178004,0.99706720667724,1.0
comparisons,period,CRC-TPC,0.23878124890483168,0.8792066647014242,1.0
comparisons,period,tcPCA,0.21740419641133613,0.9423058929028364,1.0
comparisons,period,g-tcPCA,0.021919201657115778,0.9974981725076453,1.0
sp_en_trans,answer,CRC-TPC,0.13725171893697197,0.9387589730066382,1.0
sp_en_trans,answer,tcPCA,0.13181982576096268,0.9611906867004031,1.0
sp_en_trans,answer,g-tcPCA,0.10907994958648505,0.9755035190676707,1.0
sp_en_trans,period,CRC-TPC,0.6478134444250138,0.9507497998701941,1.0
sp_en_trans,period,tcPCA,0.6324392904820432,0.9670396430208739,1.0
sp_en_trans,period,g-tcPCA,0.3186503273698833,0.9933020008435626,1.0
cities,answer,CRC-TPC,0.3859647341210054,0.83319262792313,0.998
cities,answer,tcPCA,0.32546640799927595,0.9490392309014606,0.998
cities,answer,g-tcPCA,0.08627476147250512,0.994595467747218,1.0
cities,period,CRC-TPC,0.8642489531024701,0.7455278302960413,0.998
cities,period,tcPCA,0.6774105840097877,0.8773148181384361,0.996
cities,period,g-tcPCA,0.05867175043351728,0.9963138462321338,0.998
amazon,answer,CRC-TPC,0.678047992007369,0.9592891138823308,0.952
amazon,answer,tcPCA,0.6671714358737306,0.9703529714874438,0.952
amazon,answer,g-tcPCA,0.12785048846492925,0.9944736800009483,0.952
amazon,period,CRC-TPC,0.17548680959744078,0.39461092782522655,0.946
amazon,period,tcPCA,0.06618098842032324,0.8762713608121884,0.946
amazon,period,g-tcPCA,0.012607636387566852,0.9647876159004011,0.948
imdb,answer,CRC-TPC,0.5830438136764743,0.10030497950755604,0.714
imdb,answer,tcPCA,0.05711368601208362,0.8777619499914073,0.938
imdb,answer,g-tcPCA,0.012859297315824357,0.9472141115787859,0.9339999999999999
imdb,period,CRC-TPC,0.6699577149469984,0.11995093819593798,0.746
imdb,period,tcPCA,0.054702139727964214,0.7711515039229548,0.918
imdb,period,g-tcPCA,0.008105579620167586,0.9151395356779644,0.92
ent_bank,answer,CRC-TPC,0.6294138769287961,0.9471442168654229,0.972
ent_bank,answer,tcPCA,0.6105885829505638,0.9669259666522155,0.972
ent_bank,answer,g-tcPCA,0.1986766593763438,0.9935961349290999,0.974
ent_bank,period,CRC-TPC,0.4509676654702701,0.8311754827618179,0.976
ent_bank,period,tcPCA,0.3782727041563874,0.937365853260653,0.974
ent_bank,period,g-tcPCA,0.1036062499674883,0.9833198019336187,0.978
snli,answer,CRC-TPC,0.5793574731282389,0.9602029542627452,0.918
snli,answer,tcPCA,0.5673007123218169,0.9736784068177262,0.916
snli,answer,g-tcPCA,0.19971867805262203,0.9968030750200935,0.934
snli,period,CRC-TPC,0.3592918734392901,0.7381006332066447,0.908
snli,period,tcPCA,0.25937864868615884,0.9440170781079531,0.932
snli,period,g-tcPCA,0.08175182376595476,0.9922814555341021,0.928
copa,answer,CRC-TPC,0.20456880758695636,0.9060837262580888,0.72
copa,answer,tcPCA,0.1964208091618113,0.9300908893457448,0.708
copa,answer,g-tcPCA,0.07106382167044221,0.9733846932328338,0.6759999999999999
copa,period,CRC-TPC,0.48851718091496427,0.7004614962384857,0.504
copa,period,tcPCA,0.33332219912693645,0.8629557172938879,0.496
copa,period,g-tcPCA,0.07140652633679923,0.9695467749873038,0.496
rte,answer,CRC-TPC,0.2561030173862726,0.854839144872518,0.602
rte,answer,tcPCA,0.2237497929899727,0.9279413433191908,0.602
rte,answer,g-tcPCA,0.06635286741600295,0.9849766453863564,0.5820000000000001
rte,period,CRC-TPC,0.332523580250135,0.7227408785587914,0.5640000000000001
rte,period,tcPCA,0.25865258189123636,0.8882825141605079,0.546
rte,period,g-tcPCA,0.06885983417884878,0.968521298921898,0.556
