activation,branch,role,label,truth,question,answer,text,rel_rank
-1.3373165130615234,1,cf,1,0,"Consider the following example: ‘‘‘The woman walked with crutches.’’’ Choice 1: She shaved her legs. Choice 2: She broke her leg. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The woman walked with crutches.’’’ Choice 1: She shaved her legs. Choice 2: She broke her leg. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.0
-1.0678424835205078,1,cf,1,0,"Consider the following example: ‘‘‘The patient went into a coma.’’’ Choice 1: He suffered emotional trauma. Choice 2: He suffered brain damage. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The patient went into a coma.’’’ Choice 1: He suffered emotional trauma. Choice 2: He suffered brain damage. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.002004008016032064
-0.981459379196167,1,cf,1,0,"Consider the following example: ‘‘‘The woman filed a restraining order against the man.’’’ Choice 1: The man called her. Choice 2: The man stalked her. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The woman filed a restraining order against the man.’’’ Choice 1: The man called her. Choice 2: The man stalked her. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.004008016032064128
-0.9458580017089844,1,cf,1,0,"Consider the following example: ‘‘‘The woman was arrested.’’’ Choice 1: She checked into rehab. Choice 2: She committed assault. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The woman was arrested.’’’ Choice 1: She checked into rehab. Choice 2: She committed assault. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.006012024048096192
-0.9322668313980103,1,cf,1,0,"Consider the following example: ‘‘‘The bride got cold feet before the wedding.’’’ Choice 1: The wedding guests brought gifts. Choice 2: She called the wedding off. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The bride got cold feet before the wedding.’’’ Choice 1: The wedding guests brought gifts. Choice 2: She called the wedding off. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.008016032064128256
-0.8988587856292725,1,cf,1,0,"Consider the following example: ‘‘‘The boat capsized.’’’ Choice 1: The captain raised the sail. Choice 2: It was caught in a hurricane. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The boat capsized.’’’ Choice 1: The captain raised the sail. Choice 2: It was caught in a hurricane. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.01002004008016032
-0.8978101015090942,1,cf,1,0,"Consider the following example: ‘‘‘The celebrity wore sunglasses.’’’ Choice 1: She wanted to thank her fans. Choice 2: She wanted to avoid recognition. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The celebrity wore sunglasses.’’’ Choice 1: She wanted to thank her fans. Choice 2: She wanted to avoid recognition. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.012024048096192385
-0.8928585648536682,0,base,1,1,"Consider the following example: ‘‘‘The vandals threw a rock at the window.’’’ Choice 1: The window cracked. Choice 2: The window fogged up. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The vandals threw a rock at the window.’’’ Choice 1: The window cracked. Choice 2: The window fogged up. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 1.",0.014028056112224449
-0.8749638199806213,1,cf,1,0,"Consider the following example: ‘‘‘The child disobeyed her parents.’’’ Choice 1: Her parents hugged her. Choice 2: Her parents punished her. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The child disobeyed her parents.’’’ Choice 1: Her parents hugged her. Choice 2: Her parents punished her. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.01603206412825651
-0.8434405326843262,1,cf,1,0,"Consider the following example: ‘‘‘The driver got a flat tire.’’’ Choice 1: He went over the speed limit. Choice 2: He ran over a nail. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The driver got a flat tire.’’’ Choice 1: He went over the speed limit. Choice 2: He ran over a nail. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.018036072144288578
-0.841739296913147,0,base,1,1,"Consider the following example: ‘‘‘The woman dangled the biscuit above the dog.’’’ Choice 1: The dog jumped up. Choice 2: The dog scratched its fur. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The woman dangled the biscuit above the dog.’’’ Choice 1: The dog jumped up. Choice 2: The dog scratched its fur. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 1.",0.02004008016032064
-0.8406240940093994,1,cf,1,0,"Consider the following example: ‘‘‘The woman was in a bad mood.’’’ Choice 1: She engaged in small talk with her friend. Choice 2: She told her friend to leave her alone. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The woman was in a bad mood.’’’ Choice 1: She engaged in small talk with her friend. Choice 2: She told her friend to leave her alone. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.022044088176352707
-0.8376035690307617,1,cf,1,0,"Consider the following example: ‘‘‘Air leaked out of the beach ball.’’’ Choice 1: It was inflated. Choice 2: There was a hole in it. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘Air leaked out of the beach ball.’’’ Choice 1: It was inflated. Choice 2: There was a hole in it. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.02404809619238477
-0.8235087394714355,0,base,1,1,"Consider the following example: ‘‘‘The driver slammed on his brakes.’’’ Choice 1: A deer appeared on the road. Choice 2: The car radio shut off. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The driver slammed on his brakes.’’’ Choice 1: A deer appeared on the road. Choice 2: The car radio shut off. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 1.",0.026052104208416832
-0.7997792959213257,1,cf,1,0,"Consider the following example: ‘‘‘The skier slipped on the slope.’’’ Choice 1: She dropped her ski poles. Choice 2: She hit a patch of ice. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The skier slipped on the slope.’’’ Choice 1: She dropped her ski poles. Choice 2: She hit a patch of ice. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.028056112224448898
